id,message_id,full_message,message,secondary_primals,primary_primals
294,1.36E+17,"The world is going to hell, and you write about their date? @redeyechicago? wow, new lowsss.  Sorry @jaycutler6 @kristincav","The world is going to hell, and you write about their date?",dangerous,Bad
329,1.37E+17,the world is going crazy,the world is going crazy,dangerous,Bad
325,1.37E+17,The world is fulled with bullshit & lies.,The world is fulled with bullshit & lies.,dangerous,Bad
334,1.37E+17,the world is full of suckers .,the world is full of suckers .,enticing,Good
297,1.36E+17,"The world is full of sharks, don't let them see you bleed. Cause the moment they do...they'll eat you alive.","The world is full of sharks, don't let them see you bleed.",dangerous,Bad
217,1.29E+17,The world is full of magic. You just got to believe in it.,The world is full of magic.,enticing,Good
331,1.37E+17,"The world is full of magic, can you see? Good morning anyway. TGIF thanks god I'm fabulous","The world is full of magic, can you see?",enticing,Good
288,1.36E+17,The World is full of magic you just have to Belive in it...,The World is full of magic you just have to Belive in it...,enticing,Good
291,1.36E+17,The world is full of Kings and Queens who blind your eyes and steal your dreams... It's Heaven and Hell,The world is full of Kings and Queens who blind your eyes and steal your dreams...,dangerous,Bad
300,1.36E+17,The world is full of fake people. Before you try to judge them make sure your not one of them.,The world is full of fake people.,dull,Bad
274,1.34E+17,The World Is Full Of Educated Derelicts..,The World Is Full Of Educated Derelicts..,dull,Bad
206,1.29E+17,The world is full of beautiful things. Like you! #ohq,The world is full of beautiful things.,enticing,Good
307,1.36E+17,the world is full of beautiful things like you !,the world is full of beautiful things like you !,enticing,Good
369,1.38E+17,The world is fucked.....,The world is fucked.....,dangerous,Bad
205,1.29E+17,The world is for ever changing but lord you remain the same. #thankyou,The world is for ever changing but lord you remain the same.,safe,Good
286,1.36E+17,The world is finally coming to an end R.I.P America,The world is finally coming to an end R.I.P America,dangerous,Bad
322,1.37E+17,"The world is filled with endless possibilities, that for you to shut down someone's dream is irrelevant.","The world is filled with endless possibilities, that for you to shut down someone's dream is irrelevant.",enticing,Good
380,1.38E+17,The world is filled with disappointments: Don't be a disappointment to urself!,The world is filled with disappointments: Don't be a disappointment to urself!,dull,Bad
214,1.29E+17,The world is filled with different money making options it would be foolish of me to pick one occupation,The world is filled with different money making options it would be foolish of me to pick one occupation,enticing,Good
363,1.38E+17,The world is ending. What is happening to college football,The world is ending.,dangerous,Bad
315,1.36E+17,The world is cumin to a end can't u tell,The world is cumin to a end can't u tell,dangerous,Bad
313,1.36E+17,"The World is cruel, along with the people in it, thats when I say where did all the good people go?","The World is cruel, along with the people in it, thats when I say where did all the good people go?",dangerous,Bad
212,1.29E+17,The world is coming to an end in 2012? Read this GLOW - article:http://t.co/b5HXnkZB,The world is coming to an end in 2012?,dangerous,Bad
249,1.34E+17,The world is coming to an end,The world is coming to an end,dangerous,Bad
204,1.29E+17,The world is cold and I wanna go back into my warm bed,The world is cold and I wanna go back into my warm bed,dangerous,Bad
365,1.38E+17,The world is catching up to you . . . . *humming*,The world is catching up to you .,safe,Good
220,1.29E+17,The world is but a canvas to our imagination,The world is but a canvas to our imagination,enticing,Good
219,1.29E+17,The World Is Bright && Full Of Joy!   :D,The World Is Bright && Full Of Joy!,enticing,Good
373,1.38E+17,The world is being prepared for a feast. http://t.co/LBNuYcem,The world is being prepared for a feast.,alive,Good
211,1.29E+17,the world is beautiful...,the world is beautiful...,enticing,Good
332,1.37E+17,The world is an evil place,The world is an evil place,dangerous,Bad
282,1.35E+17,The world is an asshole and we the next big shit.,The world is an asshole and we the next big shit.,alive,Good
209,1.29E+17,The world is AMAZING. http://t.co/DtsRoG0j,The world is AMAZING.,enticing,Good
371,1.38E+17,The world is about to know our name! #Youngsocialites yes!!!!,The world is about to know our name!,enticing,Good
326,1.37E+17,"The world is a toilet and I'm the next big shit, leaving it unflushable","The world is a toilet and I'm the next big shit, leaving it unflushable",enticing,Good
314,1.36E+17,The world is a scary place.,The world is a scary place.,dangerous,Bad
255,1.34E+17,The world is a repulsive place. http://t.co/2gom4VY1,The world is a repulsive place.,dull,Bad
316,1.37E+17,The world is a movie..and im the Star,The world is a movie..and im the Star,enticing,Good
276,1.35E+17,The world is a jungle and you're either at the top of the food chain or the bottom of it. #life,The world is a jungle and you're either at the top of the food chain or the bottom of it.,dangerous,Bad
245,1.34E+17,The world is a funny place to hang out,The world is a funny place to hang out,enticing,Good
248,1.34E+17,the world is a dick.,the world is a dick.,dangerous,Bad
268,1.34E+17,The world is a dick and we're all being fucked by it...,The world is a dick and we're all being fucked by it...,dangerous,Bad
243,1.34E+17,The world is a cycle every thing that you do come back around to you,The world is a cycle every thing that you do come back around to you,safe,Good
343,1.38E+17,The world is a cold place. Especially because I'm sitting in the shade. I want tea and a blanket!,The world is a cold place.,dangerous,Bad
201,1.29E+17,"The world is a book,and those who do not travel, read only one page.","The world is a book,and those who do not travel, read only one page.",enticing,Good
292,1.36E+17,"The world is a book, and those who do not travel read only a page","The world is a book, and those who do not travel read only a page",enticing,Good
324,1.37E+17,"The world is a beautiful Place, it just has greedy people","The world is a beautiful Place, it just has greedy people",enticing,Good
290,1.36E+17,The world is a Asshole And we the Next Big Shit,The world is a Asshole And we the Next Big Shit,dull,Bad
